ORDER	SENTENCE	STATUS	WORD	RANK	COUNT	COUNT_REL	INDEX	ID
20001	Meski banyak melakukan konser dari satu kota ke kota lain di Tanah Air, namun lagu yang ditampilkan tidak ada yang baru.	Y	ditampilkan	2992	    1,382	0.0028	351.3158	ind_news_2012_00925885
20002	Sehingga lagu yang ditampilkan pada kesempatan benar-benar merupakan sesuatu yang berbeda.	Y	ditampilkan	2992	    1,382	0.0028	622.4	ind_news_2016_00797017
20003	Sebagian dinilai melanggar karena desain yang ditampilkan tidak sesuai dengan aturan.	Y	ditampilkan	2992	    1,382	0.0028	708.7273	ind_news_2016_00773731
20004	Desain yang saat ini ditampilkan semoga dapat memberikan gambaran atas solusi tersebut.	Y	ditampilkan	2992	    1,382	0.0028	920	ind_news_2016_00165447
20005	Busana-busana yang ditampilkan sangat kaya warna dan seksi,katanya.	Y	ditampilkan	2992	    1,382	0.0028	1194.4444	ind_news_2016_00112066
20006	Tapi, untuk saat ini, saya hanya bisa berharap bantuan dana dari Pak Walikota Mana-do.	Y	do	2992	    1,382	0.0028	380.7333	ind_news_2012_00240890
20007	Karena sudah di-tanggung oleh Pemkot Mana-do,” kata Rogi pekan lalu.	Y	do	2992	    1,382	0.0028	704.3333	ind_news_2016_00404120
20008	Bahkan paling lambat pekan depan, berkas tersebut akan dikirim ke DPRD Mana-do.	Y	do	2992	    1,382	0.0028	730.5385	ind_news_2011_00541911
20009	Tak berapa lama, tim juga menangkap DO di sebuah perumahan di Batam.	Y	do	2992	    1,382	0.0028	871.3636	ind_news_2016_00897619
20010	Penyebab DO, BPK menemukan sejumlah penggunaan keuangan Pemprov Kalbar yang bermasalah.	Y	do	2992	    1,382	0.0028	1147.5455	ind_news_2011_00169071
20011	Musisi berusia 76 tahun itu juga mengatakan bahwa para anggota grup band juga tidak boleh ada yang merasa lebih baik dari yang lain.	Y	musisi	2992	    1,382	0.0028	393.8	ind_news_2016_00574353
20012	Acara yang dilaksanakan untuk kedua kalinya itu, menampilkan musisi dalam dan luar negeri.	Y	musisi	2992	    1,382	0.0028	609.7692	ind_news_2011_00588154
20013	Kristen mengaku ia bukanlah dan juga tidak bisa menjadi musisi dalam kehidupan nyata.	Y	musisi	2992	    1,382	0.0028	743.5385	ind_news_2011_00951176
20014	Kadang para musisi bermain dengan lengkap dan kuat, tapi tak berlebihan.	Y	musisi	2992	    1,382	0.0028	874	ind_news_2011_00119254
20015	Khususnya untuk menampung ide kreatif para musisi Jazz di Jogjakarta.	Y	musisi	2992	    1,382	0.0028	1495.1	ind_news_2016_00450268
20016	Saya bisa melakukan itu, tetapi ada hal yang tidak bisa didapatkan secara lebih dibandingkan jika bekerja sama dengan teman-teman Jogja.	Y	didapatkan	2993	    1,381	0.0028	316.3158	ind_news_2016_00744058
20017	Semakin di atas angin, sebuah peluang kembali didapatkan Inggris di menit ke-18.	Y	didapatkan	2993	    1,381	0.0028	598	ind_news_2016_00831424
20018	Informasi intelijen yang didapatkan sejak Pemilu Legislatif 2009 itu baru pertama kali dibuka Presiden kepada publik.	Y	didapatkan	2993	    1,381	0.0028	690.3333	ind_news_2011_00989903
20019	Penghargaan ini melengkapi penghargaan yang baru saja didapatkan dari Kementerian ESDM di akhir 2013.	Y	didapatkan	2993	    1,381	0.0028	809.4167	ind_news_2016_00664735
20020	Data tersebut didapatkan dari survei Bank Indonesia (BI) bertajuk Perkembangan properti komersial triwulan I/2012.	Y	didapatkan	2993	    1,381	0.0028	1276.6429	ind_news_2012_00097204
20021	Ini akan menjadi kunjungan pertama saya sejak menjadi Wakil Presiden Bank Dunia untuk kawasan Asia Timur dan Pasifik.	Y	pasifik	2993	    1,381	0.0028	365.3529	ind_news_2012_00108053
20022	“Awal pembelian, saat kami tengah melakukan pameran di Pasifik pada bulan Desember 2011.	Y	pasifik	2993	    1,381	0.0028	588.3333	ind_news_2012_00608573
20023	Indeks ini memberikan peringkat untuk 167 tujuan wisata di Asia Pasifik.	Y	pasifik	2993	    1,381	0.0028	755.7	ind_news_2016_00294522
20024	Dia pernah jadi operator radio Angkatan Laut di Pasifik ketika Perang Dunia II.	Y	pasifik	2993	    1,381	0.0028	920.5385	ind_news_2012_00788844
20025	Dikatakannya, inisiatif masyarakat Asia Pasifik usulan Australia itu merupakan gagasan jangka panjang.	Y	pasifik	2993	    1,381	0.0028	1330.5833	ind_news_2012_00706536
20026	Ini juga penting agar kita bisa merebut pasar di dalam negeri yang kini dikuasai produk dari China, katanya.	Y	dikuasai	2994	    1,379	0.0028	372.6667	ind_news_2012_00242826
20027	Bisa jadi DPR yang selama ini dikuasai Republik akan jatuh ke Demokrat.	Y	dikuasai	2994	    1,379	0.0028	565.5	ind_news_2016_00101592
20028	Padahal, pendidikan yang benar adalah pendidikan yang menyenangkan dengan suasana belajar yang menyenangkan agar ilmu dapat dikuasai.	Y	dikuasai	2994	    1,379	0.0028	726.4615	ind_news_2011_00958209
20029	Di kawasan Patung kuda yang sebelumnya menjadi tempat aksi demonstrasi kini telah dikuasai oleh aparat kepolisian.	Y	dikuasai	2994	    1,379	0.0028	839.5625	ind_news_2016_00190948
20030	Peristiwa ini diduga karena tersangka su-dah dikuasai minuman keras (miras).	Y	dikuasai	2994	    1,379	0.0028	1159.7273	ind_news_2016_00674237
