ORDER	SENTENCE	STATUS	WORD	RANK	COUNT	COUNT_REL	INDEX	ID
12001	Tahun ini harus lebih baik lagi, kalau bisa mendekati 100 persen, jelasnya.	Y	mendekati	2105	    2,689	0.0055	300.7273	ind_news_2012_00176514
12002	Sebab semakin mendekati hari, maka harga sewa tanah akan terus naik.	Y	mendekati	2105	    2,689	0.0055	588.5455	ind_news_2011_00966891
12003	Tiba-tiba dari arah belakang, datang 10 pria yang mengendarai sepeda motor mendekati korban.	Y	mendekati	2105	    2,689	0.0055	722.75	ind_news_2012_00388635
12004	Karena saya dengar pak Ahok sudah mendekati tokoh-tokoh.	Y	mendekati	2105	    2,689	0.0055	895	ind_news_2016_00403242
12005	Maklum, antrean yang ingin mendekati makam Nabi sangat banyak.	Y	mendekati	2105	    2,689	0.0055	1551.5556	ind_news_2016_00492985
12006	Sehingga sepatu masih bisa digunakan untuk beberapa waktu ke depan, katanya.	Y	sepatu	2105	    2,689	0.0055	288.7273	ind_news_2012_00977178
12007	Kali ini dia menyatakan ingin meminta sepatu DI yang dipakai Dahlan.	Y	sepatu	2105	    2,689	0.0055	598.3636	ind_news_2016_00370701
12008	Toh, uang dari keuntungan yang mereka dapatkan dipakai kembali untuk membeli pakaian, sepatu dan lain-lainnya dengan harga yang tinggi.	Y	sepatu	2105	    2,689	0.0055	758.5789	ind_news_2011_00752842
12009	Satu hal yang bersifat individu adalah ia berpeluang meraih Sepatu Emas.	Y	sepatu	2105	    2,689	0.0055	937.8182	ind_news_2011_00772885
12010	“Sebetulnya sepatu ini diluncurkan 1988 dan sangat langka.	Y	sepatu	2105	    2,689	0.0055	1457.1429	ind_news_2016_00782566
12011	Satu hal yang sangat penting dalam proses ini adalah disiplin.	Y	disiplin	2106	    2,688	0.0055	284.7	ind_news_2011_00273137
12012	Sisanya 13 persen terkait masalah keluarga dan disiplin, katanya.	Y	disiplin	2106	    2,688	0.0055	607.375	ind_news_2012_00149112
12013	Sudah begitu banyak tulisan yang ditulis para penulis dari berbagai disiplin ilmu tentang dampak dari kenaikan harga Bahan Bakar Minyak (BBM) terhadap perekonomian masyarakat Indonesia di Harian Analisa Medan.	Y	disiplin	2106	    2,688	0.0055	743.2857	ind_news_2012_00818806
12014	Itu terlihat dari sikap instansi di lingkungan Pemkab Gunungkidul yang tidak segera menindaklanjuti dengan tindakan disiplin kepegawaian.	Y	disiplin	2106	    2,688	0.0055	883.4706	ind_news_2016_00323896
12015	Hal itu disebabkan pemainnya memiliki disiplin dan semangat baja tanpa kenal menyerah.	Y	disiplin	2106	    2,688	0.0055	1364.9167	ind_news_2012_00228138
12016	Namun tidak ada pengendara yang menjadi korban saat peristiwa ini terjadi.	Y	pengendara	2106	    2,688	0.0055	291.1818	ind_news_2011_00009000
12017	Banyak masyarakat menggunakan lampu yang tidak sesuai aturan dan justru membahayakan pengendara lain.	Y	pengendara	2106	    2,688	0.0055	612.3077	ind_news_2012_00867795
12018	Ada juga pengendara sepeda motor yang terpaksa mendorong motor mereka karena mogok.	Y	pengendara	2106	    2,688	0.0055	746.0909	ind_news_2012_00801259
12019	Akibatnya pengendara sempat kesulitan melewati jalan tersebut.	Y	pengendara	2106	    2,688	0.0055	879.1429	ind_news_2016_00020606
12020	Menanyakan nama, alamat, dan hubungannya dengan pengendara motor tadi.	Y	pengendara	2106	    2,688	0.0055	1351.7778	ind_news_2011_00985409
12021	Kami bukan seperti tim nasional lain yang dengan mudah melakukan pergantian di antara 23 pemain.	Y	pergantian	2106	    2,688	0.0055	243.5	ind_news_2011_00034631
12022	Begitu pula dengan pengalaman beberapa kawan kita saat pergantian tahun terakhir.	Y	pergantian	2106	    2,688	0.0055	569.5455	ind_news_2012_00899309
